problem,answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
Who was the man behind The Chipmunks?,David Seville,Alvin Brickle,Simon Belcher,Theodore Turner
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,Phantom of the Opera,Cats,Aspects of Love
Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,David Lloyd George,Winston Churchill,Clement Attlee
Who had a 70s No 1 hit with Kiss You All Over?,Exile,The Partridge Family,The Bee Gees,David Cassidy
What claimed the life of singer Kathleen Ferrier?,Cancer,Pneumonia,Car accident,Heart attack
Rita Coolidge sang the title song for which Bond film?,Octopussy,A View to a Kill,The Spy Who Loved Me,Diamonds Are Forever
What was the last US state to reintroduce alcohol after prohibition?,Utah,Nevada,Oregon,Kansas
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall,Grace Kelly,Vivien Leigh,Joan Crawford
What is the Japanese share index called?,Nikkei,Topix,JASDAQ,S&P/TSX
What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,Dancing with the Moonlight,The Man in the Mirror,Journey of a Legend
In which decade did stereo records first go on sale?,1930s,1920s,1940s,1950s
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In 1912, in Stockholm","In 1908, in London","In 1920, in Antwerp","In 1932, in Los Angeles"
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,Mount Meru,Mount Kenya,Oldoinyo Lengai
The flag of Libya is a plain rectangle of which color?,Green,Red,Blue,Black
Of which African country is Niamey the capital?,Niger,Mali,Chad,Burkina Faso
Who was the director of the CIA from 1976-81?,George Bush,William Colby,Admiral Stansfield Turner,David Petraeus
Which musical featured the song The Street Where You Live?,My Fair Lady,Camelot,The King and I,Oklahoma!
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Hitler,Himmler,Goering,Ribbentrop
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx,Phil Collins,Bryan Adams,John Cafferty
Who directed the classic 30s western Stagecoach?,John Ford,Howard Hawks,George Stevens,Raoul Walsh
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd,The Who,Led Zeppelin,The Rolling Stones
Which highway was Revisited in a classic 60s album by Bob Dylan?,61,66,40,54
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Rumania,Poland,Hungary,East Germany
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms,Space Ghost,The Adventures of Pete & Pete,The Twilight Zone
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof,The Music Man,West Side Story,My Fair Lady
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny On The Bounty,Treasure Island,The Count of Monte Cristo,Robinson Crusoe
What was Truman Capote's last name before he was adopted by his stepfather?,Persons,Smith,Johnson,Williams
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A boojum,A jubjub,A whiffle,A mimsy
"In the Bible, who did the sun and moon stand still before?",Joshua,David,Moses,Elijah
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds,Catwoman,The Age of Innocence,Batman Returns
What was President Gerald Ford's middle name?,Rudolph,James,Edward,Michael
Art Garfunkel trained for which profession although he didn't qualify?,Architect,Engineer,Doctor,Lawyer
Who was the last inmate of Spandau jail in Berlin?,Rudolf Hess,Albert Speer,Heinrich Himmler,Erich Honecker
What was Eddie Murphy's first movie?,48 Hours,Beverly Hills Cop,Trading Places,The Golden Child
In the 80s who wrote the novel Empire of The Sun?,J. G. Ballard,Salman Rushdie,Ian McEwan,Kazuo Ishiguro
Kagoshima international airport is in which country?,Japan,South Korea,China,Taiwan
In which sport could the Pacers take on the Pistons?,A: Basketball,Football,Baseball,Hockey
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,Stars on 45 medley,Physical by Olivia Newton-John,Endless Love by Diana Ross and Lionel Richie,I Just Called to Say I Love You by Stevie Wonder
Where in Canada is the Lion's Gate bridge?,Vancouver,Toronto,Victoria,Calgary
What was Walter Matthau's first movie?,The Kentuckian,The Fortune Cookie,Buddies,Charley Varrick
Otis Barton was a pioneer in exploring where?,Underwater,Outer space,Desert caves,Mountaineering
Where in England was actor Nigel Hawthorne born?,Coventry,Birmingham,Manchester,Leicester
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",A manticore,A griffin,A chimera,A sphinx
"In Greek mythology, who were Arges, Brontes and Steropes?",Cyclopes,Titans,Nymphs,Gorgons
Which musician founded the Red Hot Peppers?,Jelly Roll Morton,Flea,Anthony Kiedis,Mickey Avalon
Where did the Shinning Path terrorists operate?,Peru,Colombia,Chile,Bolivia
How old was Jimi Hendrix when he died?,27,29,25,30
Which Brit broke the land speed record in 1990 in Thrust 2?,Richard Noble,Andy Green,Gary Paffett,Stuart Turner
In which state was Gene Vincent born?,Virginia,North Carolina,Tennessee,West Virginia
